codigo_region,region,codigo_comuna,comuna,poblacion_2024,hogares_2024,viviendas_2024,hombres_2024,mujeres_2024,edad_0_14,edad_15_29,edad_30_44,edad_45_64,edad_65_mas,promedio_personas_hogar,viviendas_por_hogar,macrozona_rm,viviendas_particulares_ocupadas,viviendas_particulares_desocupadas,viviendas_colectivas,personas_por_vivienda,porcentaje_mujeres,porcentaje_hombres,porcentaje_adultos_mayores,porcentaje_menores_15,comuna_norm
10,Los Lagos,10101,Puerto Montt,277040,100585,116425,136544,140496,51260,62493,68149,66587,28551,2.7543,1.1575,,103572,12853,0,2.3796,50.7133,49.2867,10.3057,18.5027,PUERTO MONTT
10,Los Lagos,10102,Calbuco,36474,13417,15942,18374,18100,6428,7348,7516,9782,5400,2.7185,1.1882,,13814,2128,0,2.2879,49.6244,50.3756,14.8051,17.6235,CALBUCO
10,Los Lagos,10103,Cochamo,4199,1891,3063,2213,1986,0,0,0,0,0,2.2205,1.6198,,1908,1155,0,1.3709,47.297,52.703,0.0,0.0,COCHAMO
10,Los Lagos,10104,Fresia,12320,4856,6288,6102,6218,2035,2303,2246,3537,2199,2.5371,1.2949,,5250,1038,0,1.9593,50.4708,49.5292,17.849,16.5179,FRESIA
10,Los Lagos,10105,Frutillar,22554,8164,10304,11034,11520,4344,4214,5172,5710,3114,2.7626,1.2621,,8724,1580,0,2.1889,51.0774,48.9226,13.8069,19.2604,FRUTILLAR
10,Los Lagos,10106,Los Muermos,17162,6666,8705,8620,8542,2887,3140,3250,4798,3087,2.5746,1.3059,,7125,1580,0,1.9715,49.7728,50.2272,17.9874,16.822,LOS MUERMOS
10,Los Lagos,10107,Llanquihue,18088,6209,6960,8826,9262,3154,3648,3758,4835,2693,2.9132,1.121,,6405,555,0,2.5989,51.2052,48.7948,14.8883,17.437,LLANQUIHUE
10,Los Lagos,10108,Maullin,15063,5965,7559,7651,7412,2392,2622,2784,4436,2829,2.5252,1.2672,,6206,1353,0,1.9927,49.2067,50.7933,18.7811,15.88,MAULLIN
10,Los Lagos,10109,Puerto Varas,52942,19137,25219,25814,27128,10650,9160,13558,13261,6313,2.7665,1.3178,,21262,3957,0,2.0993,51.241,48.759,11.9244,20.1164,PUERTO VARAS
10,Los Lagos,10201,Castro,46997,18004,21265,22832,24165,8213,9382,11277,12228,5897,2.6104,1.1811,,19106,2159,0,2.2101,51.4182,48.5818,12.5476,17.4756,CASTRO
